,board_sizes,fitness_function,penalty_function,allowed_plateau_steps,plateau_tolerance,fitness_evals,fitness_values,num_knights,num_covered_squares,solutions,algorithm
0,4,fitness_space_pso_paper,,100,0.1,0,12,12,16,[1 0 1 0 1 1 1 1 1 0 1 0 1 1 1 1],StochasticHillclimb
1,4,fitness_space_pso_paper,,100,0.1,1,11,11,16,[1 0 1 0 1 1 1 1 1 0 1 0 1 1 1 0],StochasticHillclimb
2,4,fitness_space_pso_paper,,100,0.1,2,10,10,16,[1 0 1 0 1 1 1 1 1 0 0 0 1 1 1 0],StochasticHillclimb
3,4,fitness_space_pso_paper,,100,0.1,3,9,9,16,[0 0 1 0 1 1 1 1 1 0 0 0 1 1 1 0],StochasticHillclimb
4,4,fitness_space_pso_paper,,100,0.1,4,8,8,16,[0 0 1 0 1 1 1 1 0 0 0 0 1 1 1 0],StochasticHillclimb
5,4,fitness_space_pso_paper,,100,0.1,5,7,7,16,[0 0 0 0 1 1 1 1 0 0 0 0 1 1 1 0],StochasticHillclimb
6,4,fitness_space_pso_paper,,100,0.1,6,6,6,16,[0 0 0 0 1 1 1 1 0 0 0 0 0 1 1 0],StochasticHillclimb
7,4,fitness_space_pso_paper,,100,0.1,7,5,5,16,[0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 0],StochasticHillclimb
8,4,fitness_space_pso_paper,,100,0.1,8,4,4,16,[0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0],StochasticHillclimb
1000,4,fitness_space_pso_paper,,100,0.1,0,10,10,16,[1 1 0 0 0 1 0 1 1 1 0 1 1 1 0 1],StochasticHillclimb
1001,4,fitness_space_pso_paper,,100,0.1,1,9,9,16,[1 1 0 0 0 1 0 1 1 1 0 1 0 1 0 1],StochasticHillclimb
1002,4,fitness_space_pso_paper,,100,0.1,2,8,8,16,[0 1 0 0 0 1 0 1 1 1 0 1 0 1 0 1],StochasticHillclimb
1003,4,fitness_space_pso_paper,,100,0.1,3,9,7,15,[0 1 0 0 0 1 0 1 1 1 0 1 0 0 0 1],StochasticHillclimb
1004,4,fitness_space_pso_paper,,100,0.1,4,8,6,15,[0 1 0 0 0 1 0 0 1 1 0 1 0 0 0 1],StochasticHillclimb
1005,4,fitness_space_pso_paper,,100,0.1,5,7,5,15,[0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 1],StochasticHillclimb
1006,4,fitness_space_pso_paper,,100,0.1,6,6,6,16,[0 1 1 0 0 1 0 0 0 1 0 1 0 0 0 1],StochasticHillclimb
1007,4,fitness_space_pso_paper,,100,0.1,7,7,5,15,[0 1 1 0 0 1 0 0 0 1 0 0 0 0 0 1],StochasticHillclimb
1008,4,fitness_space_pso_paper,,100,0.1,8,6,6,16,[0 1 1 0 1 1 0 0 0 1 0 0 0 0 0 1],StochasticHillclimb
1009,4,fitness_space_pso_paper,,100,0.1,9,5,5,16,[0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 1],StochasticHillclimb
1010,4,fitness_space_pso_paper,,100,0.1,10,6,4,15,[0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0],StochasticHillclimb
1011,4,fitness_space_pso_paper,,100,0.1,11,5,5,16,[0 1 0 0 1 1 1 0 0 1 0 0 0 0 0 0],StochasticHillclimb
1012,4,fitness_space_pso_paper,,100,0.1,12,6,4,15,[0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0],StochasticHillclimb
1013,4,fitness_space_pso_paper,,100,0.1,13,5,5,16,[1 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0],StochasticHillclimb
1014,4,fitness_space_pso_paper,,100,0.1,14,6,4,15,[1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0],StochasticHillclimb
1015,4,fitness_space_pso_paper,,100,0.1,15,5,5,16,[1 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0],StochasticHillclimb
1016,4,fitness_space_pso_paper,,100,0.1,16,6,4,15,[1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0],StochasticHillclimb
1017,4,fitness_space_pso_paper,,100,0.1,17,5,5,16,[1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0],StochasticHillclimb
1018,4,fitness_space_pso_paper,,100,0.1,18,6,4,15,[1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0],StochasticHillclimb
1019,4,fitness_space_pso_paper,,100,0.1,19,5,5,16,[1 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0],StochasticHillclimb
1020,4,fitness_space_pso_paper,,100,0.1,20,6,4,15,[0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0],StochasticHillclimb
1021,4,fitness_space_pso_paper,,100,0.1,21,5,5,16,[1 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0],StochasticHillclimb
1022,4,fitness_space_pso_paper,,100,0.1,22,6,4,15,[0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0],StochasticHillclimb
1023,4,fitness_space_pso_paper,,100,0.1,23,5,5,16,[0 1 0 0 1 1 1 0 0 1 0 0 0 0 0 0],StochasticHillclimb
1024,4,fitness_space_pso_paper,,100,0.1,24,6,4,15,[0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0],StochasticHillclimb
1025,4,fitness_space_pso_paper,,100,0.1,25,5,5,16,[0 1 0 0 0 1 1 0 0 1 0 0 0 1 0 0],StochasticHillclimb
1026,4,fitness_space_pso_paper,,100,0.1,26,6,4,15,[0 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0],StochasticHillclimb
1027,4,fitness_space_pso_paper,,100,0.1,27,5,5,16,[0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0],StochasticHillclimb
1028,4,fitness_space_pso_paper,,100,0.1,28,4,4,16,[0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0],StochasticHillclimb
2000,4,fitness_space_pso_paper,,100,0.1,0,11,8,14,[0 0 0 1 0 1 0 1 1 0 1 1 1 0 1 0],StochasticHillclimb
2001,4,fitness_space_pso_paper,,100,0.1,1,10,7,14,[0 0 0 1 0 0 0 1 1 0 1 1 1 0 1 0],StochasticHillclimb
2002,4,fitness_space_pso_paper,,100,0.1,2,10,6,13,[0 0 0 1 0 0 0 0 1 0 1 1 1 0 1 0],StochasticHillclimb
2003,4,fitness_space_pso_paper,,100,0.1,3,9,5,13,[0 0 0 0 0 0 0 0 1 0 1 1 1 0 1 0],StochasticHillclimb
2004,4,fitness_space_pso_paper,,100,0.1,4,8,4,13,[0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0],StochasticHillclimb
2005,4,fitness_space_pso_paper,,100,0.1,5,8,5,14,[0 0 0 0 0 0 0 1 1 0 1 1 0 0 1 0],StochasticHillclimb
2006,4,fitness_space_pso_paper,,100,0.1,6,8,4,13,[0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0],StochasticHillclimb
2007,4,fitness_space_pso_paper,,100,0.1,7,7,5,15,[1 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0],StochasticHillclimb
2008,4,fitness_space_pso_paper,,100,0.1,8,6,6,16,[1 0 0 0 0 0 0 0 1 1 1 1 0 0 1 0],StochasticHillclimb
2009,4,fitness_space_pso_paper,,100,0.1,9,5,5,16,[0 0 0 0 0 0 0 0 1 1 1 1 0 0 1 0],StochasticHillclimb
2010,4,fitness_space_pso_paper,,100,0.1,10,4,4,16,[0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0],StochasticHillclimb
3000,4,fitness_space_pso_paper,,100,0.1,0,10,10,16,[0 0 1 1 1 0 1 1 1 0 0 1 1 1 1 0],StochasticHillclimb
3001,4,fitness_space_pso_paper,,100,0.1,1,9,9,16,[0 0 1 1 1 0 1 1 1 0 0 0 1 1 1 0],StochasticHillclimb
3002,4,fitness_space_pso_paper,,100,0.1,2,10,8,15,[0 0 1 1 1 0 1 1 1 0 0 0 0 1 1 0],StochasticHillclimb
3003,4,fitness_space_pso_paper,,100,0.1,3,9,7,15,[0 0 1 1 1 0 1 0 1 0 0 0 0 1 1 0],StochasticHillclimb
3004,4,fitness_space_pso_paper,,100,0.1,4,9,6,14,[0 0 0 1 1 0 1 0 1 0 0 0 0 1 1 0],StochasticHillclimb
3005,4,fitness_space_pso_paper,,100,0.1,5,9,7,15,[0 0 0 1 1 0 1 0 1 0 0 0 0 1 1 1],StochasticHillclimb
3006,4,fitness_space_pso_paper,,100,0.1,6,9,6,14,[0 0 0 1 1 0 0 0 1 0 0 0 0 1 1 1],StochasticHillclimb
3007,4,fitness_space_pso_paper,,100,0.1,7,9,5,13,[0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1],StochasticHillclimb
3008,4,fitness_space_pso_paper,,100,0.1,8,9,6,14,[0 0 0 1 1 0 0 0 1 0 1 0 0 0 1 1],StochasticHillclimb
3009,4,fitness_space_pso_paper,,100,0.1,9,9,7,15,[0 0 0 1 1 0 0 0 1 1 1 0 0 0 1 1],StochasticHillclimb
3010,4,fitness_space_pso_paper,,100,0.1,10,8,6,15,[0 0 0 1 1 0 0 0 1 1 1 0 0 0 0 1],StochasticHillclimb
3011,4,fitness_space_pso_paper,,100,0.1,11,7,7,16,[0 0 0 1 1 0 0 0 1 1 1 1 0 0 0 1],StochasticHillclimb
3012,4,fitness_space_pso_paper,,100,0.1,12,6,6,16,[0 0 0 1 1 0 0 0 1 1 1 1 0 0 0 0],StochasticHillclimb
3013,4,fitness_space_pso_paper,,100,0.1,13,5,5,16,[0 0 0 1 0 0 0 0 1 1 1 1 0 0 0 0],StochasticHillclimb
3014,4,fitness_space_pso_paper,,100,0.1,14,4,4,16,[0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0],StochasticHillclimb
4000,4,fitness_space_pso_paper,,100,0.1,0,13,11,15,[1 0 1 1 1 1 0 1 0 1 1 1 0 1 0 1],StochasticHillclimb
4001,4,fitness_space_pso_paper,,100,0.1,1,12,10,15,[1 0 1 1 1 1 0 1 0 1 1 0 0 1 0 1],StochasticHillclimb
4002,4,fitness_space_pso_paper,,100,0.1,2,11,9,15,[1 0 1 1 1 1 0 1 0 1 0 0 0 1 0 1],StochasticHillclimb
4003,4,fitness_space_pso_paper,,100,0.1,3,10,8,15,[1 0 1 1 0 1 0 1 0 1 0 0 0 1 0 1],StochasticHillclimb
4004,4,fitness_space_pso_paper,,100,0.1,4,10,7,14,[1 0 1 1 0 1 0 0 0 1 0 0 0 1 0 1],StochasticHillclimb
4005,4,fitness_space_pso_paper,,100,0.1,5,8,8,16,[1 0 1 1 0 1 0 0 1 1 0 0 0 1 0 1],StochasticHillclimb
4006,4,fitness_space_pso_paper,,100,0.1,6,9,7,15,[1 0 1 1 0 1 0 0 1 0 0 0 0 1 0 1],StochasticHillclimb
4007,4,fitness_space_pso_paper,,100,0.1,7,9,6,14,[0 0 1 1 0 1 0 0 1 0 0 0 0 1 0 1],StochasticHillclimb
4008,4,fitness_space_pso_paper,,100,0.1,8,9,5,13,[0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 1],StochasticHillclimb
4009,4,fitness_space_pso_paper,,100,0.1,9,9,6,14,[0 0 1 0 0 1 0 0 1 0 1 0 0 1 0 1],StochasticHillclimb
4010,4,fitness_space_pso_paper,,100,0.1,10,9,5,13,[0 0 1 0 0 1 0 0 1 0 0 0 0 1 0 1],StochasticHillclimb
4011,4,fitness_space_pso_paper,,100,0.1,11,8,6,15,[0 0 1 0 0 1 0 0 1 1 0 0 0 1 0 1],StochasticHillclimb
4012,4,fitness_space_pso_paper,,100,0.1,12,7,7,16,[0 0 1 1 0 1 0 0 1 1 0 0 0 1 0 1],StochasticHillclimb
4013,4,fitness_space_pso_paper,,100,0.1,13,6,6,16,[0 0 1 1 0 1 0 0 1 1 0 0 0 1 0 0],StochasticHillclimb
4014,4,fitness_space_pso_paper,,100,0.1,14,7,5,15,[0 0 1 1 0 1 0 0 1 1 0 0 0 0 0 0],StochasticHillclimb
4015,4,fitness_space_pso_paper,,100,0.1,15,7,4,14,[0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0],StochasticHillclimb
4016,4,fitness_space_pso_paper,,100,0.1,16,7,5,15,[0 0 0 1 0 1 0 0 1 1 0 1 0 0 0 0],StochasticHillclimb
4017,4,fitness_space_pso_paper,,100,0.1,17,6,6,16,[0 0 0 1 0 1 0 0 1 1 1 1 0 0 0 0],StochasticHillclimb
4018,4,fitness_space_pso_paper,,100,0.1,18,7,5,15,[0 0 0 1 0 1 0 0 1 1 0 1 0 0 0 0],StochasticHillclimb
4019,4,fitness_space_pso_paper,,100,0.1,19,6,6,16,[0 0 0 1 1 1 0 0 1 1 0 1 0 0 0 0],StochasticHillclimb
4020,4,fitness_space_pso_paper,,100,0.1,20,7,5,15,[0 0 0 1 1 0 0 0 1 1 0 1 0 0 0 0],StochasticHillclimb
4021,4,fitness_space_pso_paper,,100,0.1,21,7,4,14,[0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0],StochasticHillclimb
4022,4,fitness_space_pso_paper,,100,0.1,22,7,5,15,[0 0 0 1 1 0 0 0 1 1 0 1 0 0 0 0],StochasticHillclimb
4023,4,fitness_space_pso_paper,,100,0.1,23,7,4,14,[0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0],StochasticHillclimb
4024,4,fitness_space_pso_paper,,100,0.1,24,5,5,16,[0 0 0 0 1 0 0 0 1 1 1 1 0 0 0 0],StochasticHillclimb
4025,4,fitness_space_pso_paper,,100,0.1,25,4,4,16,[0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0],StochasticHillclimb
5000,4,fitness_space_pso_paper,,100,0.1,0,10,6,13,[0 1 0 0 0 1 0 1 1 0 1 0 0 0 0 1],StochasticHillclimb
5001,4,fitness_space_pso_paper,,100,0.1,1,10,7,14,[1 1 0 0 0 1 0 1 1 0 1 0 0 0 0 1],StochasticHillclimb
5002,4,fitness_space_pso_paper,,100,0.1,2,8,8,16,[1 1 0 0 1 1 0 1 1 0 1 0 0 0 0 1],StochasticHillclimb
5003,4,fitness_space_pso_paper,,100,0.1,3,9,7,15,[1 1 0 0 1 1 0 1 1 0 1 0 0 0 0 0],StochasticHillclimb
5004,4,fitness_space_pso_paper,,100,0.1,4,8,6,15,[1 1 0 0 1 1 0 1 0 0 1 0 0 0 0 0],StochasticHillclimb
5005,4,fitness_space_pso_paper,,100,0.1,5,8,5,14,[1 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0],StochasticHillclimb
5006,4,fitness_space_pso_paper,,100,0.1,6,8,6,15,[1 0 0 0 1 1 0 1 1 0 1 0 0 0 0 0],StochasticHillclimb
5007,4,fitness_space_pso_paper,,100,0.1,7,8,5,14,[1 0 0 0 1 1 0 0 1 0 1 0 0 0 0 0],StochasticHillclimb
5008,4,fitness_space_pso_paper,,100,0.1,8,8,6,15,[1 0 0 0 1 1 1 0 1 0 1 0 0 0 0 0],StochasticHillclimb
5009,4,fitness_space_pso_paper,,100,0.1,9,8,5,14,[0 0 0 0 1 1 1 0 1 0 1 0 0 0 0 0],StochasticHillclimb
5010,4,fitness_space_pso_paper,,100,0.1,10,8,6,15,[0 1 0 0 1 1 1 0 1 0 1 0 0 0 0 0],StochasticHillclimb
5011,4,fitness_space_pso_paper,,100,0.1,11,7,5,15,[0 1 0 0 1 1 1 0 0 0 1 0 0 0 0 0],StochasticHillclimb
5012,4,fitness_space_pso_paper,,100,0.1,12,6,6,16,[1 1 0 0 1 1 1 0 0 0 1 0 0 0 0 0],StochasticHillclimb
5013,4,fitness_space_pso_paper,,100,0.1,13,7,5,15,[1 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0],StochasticHillclimb
5014,4,fitness_space_pso_paper,,100,0.1,14,7,4,14,[1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0],StochasticHillclimb
5015,4,fitness_space_pso_paper,,100,0.1,15,5,5,16,[1 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0],StochasticHillclimb
5016,4,fitness_space_pso_paper,,100,0.1,16,4,4,16,[0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0],StochasticHillclimb
6000,4,fitness_space_pso_paper,,100,0.1,0,9,7,15,[1 0 0 0 0 1 0 1 0 1 0 1 0 1 1 0],StochasticHillclimb
6001,4,fitness_space_pso_paper,,100,0.1,1,9,6,14,[1 0 0 0 0 1 0 1 0 1 0 1 0 0 1 0],StochasticHillclimb
6002,4,fitness_space_pso_paper,,100,0.1,2,9,7,15,[1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0],StochasticHillclimb
6003,4,fitness_space_pso_paper,,100,0.1,3,9,6,14,[1 0 0 0 0 1 0 1 0 1 0 1 0 0 1 0],StochasticHillclimb
6004,4,fitness_space_pso_paper,,100,0.1,4,9,5,13,[1 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0],StochasticHillclimb
6005,4,fitness_space_pso_paper,,100,0.1,5,9,6,14,[1 0 0 1 0 1 0 1 0 1 0 1 0 0 0 0],StochasticHillclimb
6006,4,fitness_space_pso_paper,,100,0.1,6,9,5,13,[1 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0],StochasticHillclimb
6007,4,fitness_space_pso_paper,,100,0.1,7,8,6,15,[1 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0],StochasticHillclimb
6008,4,fitness_space_pso_paper,,100,0.1,8,7,5,15,[1 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0],StochasticHillclimb
6009,4,fitness_space_pso_paper,,100,0.1,9,7,4,14,[0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0],StochasticHillclimb
6010,4,fitness_space_pso_paper,,100,0.1,10,5,5,16,[0 0 0 0 0 1 0 0 1 1 1 1 0 0 0 0],StochasticHillclimb
6011,4,fitness_space_pso_paper,,100,0.1,11,6,4,15,[0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0],StochasticHillclimb
6012,4,fitness_space_pso_paper,,100,0.1,12,5,5,16,[0 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0],StochasticHillclimb
6013,4,fitness_space_pso_paper,,100,0.1,13,6,4,15,[0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0],StochasticHillclimb
6014,4,fitness_space_pso_paper,,100,0.1,14,5,5,16,[0 0 0 0 0 1 0 0 1 1 1 1 0 0 0 0],StochasticHillclimb
6015,4,fitness_space_pso_paper,,100,0.1,15,4,4,16,[0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0],StochasticHillclimb
7000,4,fitness_space_pso_paper,,100,0.1,0,9,7,15,[1 0 1 0 0 1 0 1 1 0 0 0 1 0 0 1],StochasticHillclimb
7001,4,fitness_space_pso_paper,,100,0.1,1,8,8,16,[1 0 1 0 0 1 1 1 1 0 0 0 1 0 0 1],StochasticHillclimb
7002,4,fitness_space_pso_paper,,100,0.1,2,9,7,15,[1 0 1 0 0 0 1 1 1 0 0 0 1 0 0 1],StochasticHillclimb
7003,4,fitness_space_pso_paper,,100,0.1,3,9,6,14,[1 0 1 0 0 0 1 0 1 0 0 0 1 0 0 1],StochasticHillclimb
7004,4,fitness_space_pso_paper,,100,0.1,4,9,7,15,[1 0 1 0 0 1 1 0 1 0 0 0 1 0 0 1],StochasticHillclimb
7005,4,fitness_space_pso_paper,,100,0.1,5,8,6,15,[0 0 1 0 0 1 1 0 1 0 0 0 1 0 0 1],StochasticHillclimb
7006,4,fitness_space_pso_paper,,100,0.1,6,7,7,16,[0 0 1 0 0 1 1 0 1 0 0 0 1 0 1 1],StochasticHillclimb
7007,4,fitness_space_pso_paper,,100,0.1,7,8,6,15,[0 0 1 0 0 1 1 0 1 0 0 0 0 0 1 1],StochasticHillclimb
7008,4,fitness_space_pso_paper,,100,0.1,8,7,7,16,[0 0 1 1 0 1 1 0 1 0 0 0 0 0 1 1],StochasticHillclimb
7009,4,fitness_space_pso_paper,,100,0.1,9,6,6,16,[0 0 1 1 0 1 1 0 1 0 0 0 0 0 1 0],StochasticHillclimb
7010,4,fitness_space_pso_paper,,100,0.1,10,7,5,15,[0 0 1 0 0 1 1 0 1 0 0 0 0 0 1 0],StochasticHillclimb
7011,4,fitness_space_pso_paper,,100,0.1,11,6,6,16,[0 0 1 0 1 1 1 0 1 0 0 0 0 0 1 0],StochasticHillclimb
7012,4,fitness_space_pso_paper,,100,0.1,12,7,5,15,[0 0 0 0 1 1 1 0 1 0 0 0 0 0 1 0],StochasticHillclimb
7013,4,fitness_space_pso_paper,,100,0.1,13,6,6,16,[0 0 0 0 1 1 1 0 1 1 0 0 0 0 1 0],StochasticHillclimb
7014,4,fitness_space_pso_paper,,100,0.1,14,7,5,15,[0 0 0 0 1 1 1 0 1 0 0 0 0 0 1 0],StochasticHillclimb
7015,4,fitness_space_pso_paper,,100,0.1,15,6,6,16,[0 0 1 0 1 1 1 0 1 0 0 0 0 0 1 0],StochasticHillclimb
7016,4,fitness_space_pso_paper,,100,0.1,16,7,5,15,[0 0 1 0 0 1 1 0 1 0 0 0 0 0 1 0],StochasticHillclimb
7017,4,fitness_space_pso_paper,,100,0.1,17,6,6,16,[0 0 1 0 0 1 1 0 1 0 1 0 0 0 1 0],StochasticHillclimb
7018,4,fitness_space_pso_paper,,100,0.1,18,7,5,15,[0 0 1 0 0 1 1 0 1 0 1 0 0 0 0 0],StochasticHillclimb
7019,4,fitness_space_pso_paper,,100,0.1,19,6,4,15,[0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0],StochasticHillclimb
7020,4,fitness_space_pso_paper,,100,0.1,20,5,5,16,[0 1 1 0 0 1 1 0 0 0 1 0 0 0 0 0],StochasticHillclimb
7021,4,fitness_space_pso_paper,,100,0.1,21,4,4,16,[0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0],StochasticHillclimb
8000,4,fitness_space_pso_paper,,100,0.1,0,8,8,16,[0 0 0 1 1 0 1 1 1 1 1 1 0 0 0 0],StochasticHillclimb
8001,4,fitness_space_pso_paper,,100,0.1,1,7,7,16,[0 0 0 1 1 0 1 1 0 1 1 1 0 0 0 0],StochasticHillclimb
8002,4,fitness_space_pso_paper,,100,0.1,2,6,6,16,[0 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0],StochasticHillclimb
8003,4,fitness_space_pso_paper,,100,0.1,3,7,5,15,[0 0 0 1 0 0 1 0 0 1 1 1 0 0 0 0],StochasticHillclimb
8004,4,fitness_space_pso_paper,,100,0.1,4,6,6,16,[0 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0],StochasticHillclimb
8005,4,fitness_space_pso_paper,,100,0.1,5,5,5,16,[0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0],StochasticHillclimb
8006,4,fitness_space_pso_paper,,100,0.1,6,4,4,16,[0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0],StochasticHillclimb
9000,4,fitness_space_pso_paper,,100,0.1,0,6,6,16,[0 1 0 1 1 1 0 0 1 1 0 0 0 0 0 0],StochasticHillclimb
9001,4,fitness_space_pso_paper,,100,0.1,1,5,5,16,[0 1 0 0 1 1 0 0 1 1 0 0 0 0 0 0],StochasticHillclimb
9002,4,fitness_space_pso_paper,,100,0.1,2,4,4,16,[0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0],StochasticHillclimb
10000,4,fitness_space_pso_paper,,200,0.1,0,8,8,16,[0 1 0 1 1 0 0 0 1 1 1 1 0 0 0 1],StochasticHillclimb
10001,4,fitness_space_pso_paper,,200,0.1,1,9,7,15,[0 1 0 1 1 0 0 0 1 1 1 0 0 0 0 1],StochasticHillclimb
10002,4,fitness_space_pso_paper,,200,0.1,2,9,6,14,[0 1 0 1 1 0 0 0 1 0 1 0 0 0 0 1],StochasticHillclimb
10003,4,fitness_space_pso_paper,,200,0.1,3,9,7,15,[1 1 0 1 1 0 0 0 1 0 1 0 0 0 0 1],StochasticHillclimb
10004,4,fitness_space_pso_paper,,200,0.1,4,8,8,16,[1 1 0 1 1 0 0 0 1 0 1 0 0 1 0 1],StochasticHillclimb
10005,4,fitness_space_pso_paper,,200,0.1,5,9,7,15,[1 1 0 1 1 0 0 0 1 0 1 0 0 1 0 0],StochasticHillclimb
10006,4,fitness_space_pso_paper,,200,0.1,6,9,6,14,[1 0 0 1 1 0 0 0 1 0 1 0 0 1 0 0],StochasticHillclimb
10007,4,fitness_space_pso_paper,,200,0.1,7,9,5,13,[1 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0],StochasticHillclimb
10008,4,fitness_space_pso_paper,,200,0.1,8,9,6,14,[1 0 0 1 1 1 0 0 1 0 0 0 0 1 0 0],StochasticHillclimb
10009,4,fitness_space_pso_paper,,200,0.1,9,8,5,14,[1 0 0 0 1 1 0 0 1 0 0 0 0 1 0 0],StochasticHillclimb
10010,4,fitness_space_pso_paper,,200,0.1,10,8,6,15,[1 0 0 0 1 1 0 0 1 0 0 0 0 1 0 1],StochasticHillclimb
10011,4,fitness_space_pso_paper,,200,0.1,11,7,7,16,[1 0 0 0 1 1 0 1 1 0 0 0 0 1 0 1],StochasticHillclimb
10012,4,fitness_space_pso_paper,,200,0.1,12,8,6,15,[1 0 0 0 1 1 0 1 0 0 0 0 0 1 0 1],StochasticHillclimb
10013,4,fitness_space_pso_paper,,200,0.1,13,7,7,16,[1 0 0 0 1 1 1 1 0 0 0 0 0 1 0 1],StochasticHillclimb
10014,4,fitness_space_pso_paper,,200,0.1,14,8,6,15,[1 0 0 0 1 1 0 1 0 0 0 0 0 1 0 1],StochasticHillclimb
10015,4,fitness_space_pso_paper,,200,0.1,15,7,7,16,[1 0 0 0 1 1 0 1 0 0 0 0 0 1 1 1],StochasticHillclimb
10016,4,fitness_space_pso_paper,,200,0.1,16,8,6,15,[0 0 0 0 1 1 0 1 0 0 0 0 0 1 1 1],StochasticHillclimb
10017,4,fitness_space_pso_paper,,200,0.1,17,8,5,14,[0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1],StochasticHillclimb
10018,4,fitness_space_pso_paper,,200,0.1,18,7,4,14,[0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1],StochasticHillclimb
10019,4,fitness_space_pso_paper,,200,0.1,19,7,5,15,[0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 1],StochasticHillclimb
10020,4,fitness_space_pso_paper,,200,0.1,20,6,6,16,[0 1 0 0 1 1 0 0 0 1 0 0 0 0 1 1],StochasticHillclimb
10021,4,fitness_space_pso_paper,,200,0.1,21,7,5,15,[0 1 0 0 1 1 0 0 0 0 0 0 0 0 1 1],StochasticHillclimb
10022,4,fitness_space_pso_paper,,200,0.1,22,6,6,16,[1 1 0 0 1 1 0 0 0 0 0 0 0 0 1 1],StochasticHillclimb
10023,4,fitness_space_pso_paper,,200,0.1,23,7,5,15,[1 1 0 0 1 1 0 0 0 0 0 0 0 0 1 0],StochasticHillclimb
10024,4,fitness_space_pso_paper,,200,0.1,24,6,4,15,[1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0],StochasticHillclimb
10025,4,fitness_space_pso_paper,,200,0.1,25,5,5,16,[1 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0],StochasticHillclimb
10026,4,fitness_space_pso_paper,,200,0.1,26,6,4,15,[1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0],StochasticHillclimb
10027,4,fitness_space_pso_paper,,200,0.1,27,5,5,16,[1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1],StochasticHillclimb
10028,4,fitness_space_pso_paper,,200,0.1,28,6,4,15,[0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1],StochasticHillclimb
10029,4,fitness_space_pso_paper,,200,0.1,29,5,5,16,[0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 1],StochasticHillclimb
