,board_sizes,fitness_function,penalty_function,allowed_plateau_steps,plateau_tolerance,fitness_evals,fitness_values,num_knights,num_covered_squares,solutions,algorithm
22070,5,fitness_space_pso_paper,,100,0.1,70,6,4,24,[0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0],StochasticHillclimb
22071,5,fitness_space_pso_paper,,100,0.1,71,5,5,25,[0 0 0 0 0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0],StochasticHillclimb
22072,5,fitness_space_pso_paper,,100,0.1,72,6,4,24,[0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0],StochasticHillclimb
22073,5,fitness_space_pso_paper,,100,0.1,73,5,5,25,[0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0],StochasticHillclimb
22074,5,fitness_space_pso_paper,,100,0.1,74,6,4,24,[0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0],StochasticHillclimb
22075,5,fitness_space_pso_paper,,100,0.1,75,5,5,25,[0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0],StochasticHillclimb
22076,5,fitness_space_pso_paper,,100,0.1,76,6,4,24,[0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0],StochasticHillclimb
22077,5,fitness_space_pso_paper,,100,0.1,77,5,5,25,[0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0],StochasticHillclimb
22078,5,fitness_space_pso_paper,,100,0.1,78,6,4,24,[0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0],StochasticHillclimb
22079,5,fitness_space_pso_paper,,100,0.1,79,5,5,25,[0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0],StochasticHillclimb
22080,5,fitness_space_pso_paper,,100,0.1,80,6,4,24,[0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0],StochasticHillclimb
22081,5,fitness_space_pso_paper,,100,0.1,81,5,5,25,[0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0],StochasticHillclimb
22082,5,fitness_space_pso_paper,,100,0.1,82,6,4,24,[0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0],StochasticHillclimb
22083,5,fitness_space_pso_paper,,100,0.1,83,5,5,25,[0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0],StochasticHillclimb
22084,5,fitness_space_pso_paper,,100,0.1,84,6,4,24,[0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0],StochasticHillclimb
22085,5,fitness_space_pso_paper,,100,0.1,85,5,5,25,[0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0],StochasticHillclimb
22086,5,fitness_space_pso_paper,,100,0.1,86,6,4,24,[0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0],StochasticHillclimb
22087,5,fitness_space_pso_paper,,100,0.1,87,5,5,25,[0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0],StochasticHillclimb
22088,5,fitness_space_pso_paper,,100,0.1,88,6,4,24,[0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0],StochasticHillclimb
22089,5,fitness_space_pso_paper,,100,0.1,89,5,5,25,[0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0],StochasticHillclimb
22090,5,fitness_space_pso_paper,,100,0.1,90,6,4,24,[0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0],StochasticHillclimb
22091,5,fitness_space_pso_paper,,100,0.1,91,5,5,25,[0 0 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0],StochasticHillclimb
22092,5,fitness_space_pso_paper,,100,0.1,92,6,4,24,[0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0],StochasticHillclimb
